"statid","matchid","possessionhome","possessionaway","shotsontargethome","shotsontargetaway","shotsofftargethome","shotsofftargetaway","cornershome","cornersaway","foulshome","foulsaway"
125,973835,0,0,0,0,0,0,0,0,0,0
126,973836,0,0,0,0,0,0,0,0,0,0
127,973837,0,0,0,0,0,0,0,0,0,0
128,973838,0,0,0,0,0,0,0,0,0,0
129,973841,0,0,0,0,0,0,0,0,0,0
130,973843,0,0,0,0,0,0,0,0,0,0
131,973844,0,0,0,0,0,0,0,0,0,0
132,973845,0,0,0,0,0,0,0,0,0,0
133,973850,0,0,0,0,0,0,0,0,0,0
134,973852,0,0,0,0,0,0,0,0,0,0
135,973853,0,0,0,0,0,0,0,0,0,0
136,973857,0,0,0,0,0,0,0,0,0,0
137,973895,0,0,0,0,0,0,0,0,0,0
138,973896,0,0,0,0,0,0,0,0,0,0
139,973899,0,0,0,0,0,0,0,0,0,0
140,973919,0,0,0,0,0,0,0,0,0,0
141,975461,0,0,0,0,0,0,0,0,0,0
142,975463,0,0,0,0,0,0,0,0,0,0
143,975466,0,0,0,0,0,0,0,0,0,0
144,975472,0,0,0,0,0,0,0,0,0,0
145,975473,0,0,0,0,0,0,0,0,0,0
146,975475,0,0,0,0,0,0,0,0,0,0
147,975478,0,0,0,0,0,0,0,0,0,0
148,975484,0,0,0,0,0,0,0,0,0,0
149,975486,0,0,0,0,0,0,0,0,0,0
150,975494,0,0,0,0,0,0,0,0,0,0
151,975495,0,0,0,0,0,0,0,0,0,0
152,975500,0,0,0,0,0,0,0,0,0,0
153,975513,0,0,0,0,0,0,0,0,0,0
154,975514,0,0,0,0,0,0,0,0,0,0
155,975527,0,0,0,0,0,0,0,0,0,0
156,975538,0,0,0,0,0,0,0,0,0,0
157,975544,0,0,0,0,0,0,0,0,0,0
158,975549,0,0,0,0,0,0,0,0,0,0
159,975553,0,0,0,0,0,0,0,0,0,0
160,975554,0,0,0,0,0,0,0,0,0,0
161,975561,0,0,0,0,0,0,0,0,0,0
162,975562,0,0,0,0,0,0,0,0,0,0
163,975569,0,0,0,0,0,0,0,0,0,0
164,975572,0,0,0,0,0,0,0,0,0,0
